GEOID10,ACCESS2_CrudePrev,BINGE_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,LPA_CrudePrev,MHLTH_CrudePrev,"1,3-butadiene",Acetaldehyde,Benzene,Carbon tetrachloride,Diesel Particulate Matter,Ethylene oxide,Formaldehyde,Napthalene,Severe_Housing_Problems,Housing_Cost_Burden,Total_households_with_internet,Unemploymen_ rate,Median_income
17031842400,9.9,12.2,11.6,7.3,16.9,18.2,34.8,14.7,0.02,0.61,0.32,0.52,0.51,0.0,0.91,0.02,110,125,1017,5.6,104130
17031840300,20.6,16.8,8.7,4.6,15.2,11.4,34.1,14.5,0.02,0.65,0.37,0.52,0.65,0.0,0.97,0.05,180,65,1245,15.8,80694
17031841100,14.5,8.6,7.6,6.9,17.9,19.0,44.1,13.0,0.03,0.69,0.51,0.52,1.34,0.0,0.97,0.04,390,115,2223,6.2,66125
17031841200,21.7,19.0,9.0,3.8,12.5,9.9,30.7,14.9,0.02,0.65,0.36,0.52,0.67,0.0,0.98,0.05,130,250,1419,8.9,69211
17031839000,5.3,21.7,8.8,2.4,8.3,5.2,16.3,13.6,0.03,0.7,0.52,0.52,1.42,0.0,0.99,0.04,165,725,5768,17.9,131237
17031838200,7.8,20.3,9.1,1.9,8.1,4.5,19.1,15.8,0.02,0.65,0.36,0.52,0.68,0.0,0.99,0.04,30,20,330,11.3,178333
17031650301,20.3,19.6,8.7,4.1,12.5,9.1,29.8,14.0,0.03,0.74,0.34,0.52,0.51,0.0,1.03,0.03,150,50,1476,11.4,72333
17031530503,10.1,12.8,12.0,6.2,18.3,17.3,34.3,15.8,0.02,0.61,0.31,0.52,0.5,0.0,0.96,0.02,195,170,1358,15.3,64576
17031760803,9.5,19.9,9.4,4.7,16.1,8.2,24.9,15.4,0.04,0.68,0.34,0.52,0.51,0.0,1.03,0.02,300,495,2811,5.6,64143
17031030601,12.0,15.7,9.9,6.4,17.4,12.7,30.8,15.1,0.02,0.6,0.31,0.52,0.43,0.0,0.9,0.02,95,175,1724,4.3,58169
17031030604,7.0,16.9,8.7,4.7,11.1,9.8,22.7,12.5,0.02,0.6,0.28,0.52,0.41,0.0,0.89,0.02,120,355,1774,1.9,111354
17031020801,12.8,16.8,9.1,4.8,15.2,10.2,28.9,14.3,0.02,0.62,0.34,0.52,0.46,0.0,0.91,0.03,145,280,1787,2.4,90215
17031540102,16.6,11.1,15.2,7.2,29.1,20.8,47.3,23.7,0.02,0.6,0.32,0.52,0.43,0.0,0.94,0.02,25,210,1100,18.3,-
17031843300,20.0,14.7,11.8,5.8,22.8,16.3,40.4,18.5,0.02,0.65,0.35,0.52,0.63,0.0,0.97,0.05,0,115,395,20.5,90665
17031540101,18.4,12.1,15.3,5.4,31.8,17.5,47.2,25.4,0.02,0.6,0.35,0.52,0.45,0.0,0.94,0.02,25,320,1336,35.7,18971
17031440201,9.7,12.2,12.1,6.5,18.1,17.8,35.5,15.8,0.02,0.61,0.31,0.52,0.51,0.0,0.91,0.02,45,985,2026,11.8,42798
17031080202,3.9,20.0,8.6,3.4,7.2,5.9,14.7,11.5,0.03,0.71,0.55,0.52,1.53,0.0,0.99,0.05,170,180,2468,0.8,"250,000"
17031070102,4.0,24.9,8.2,1.9,6.1,3.4,12.3,12.3,0.03,0.62,0.55,0.52,1.15,0.0,0.85,0.04,110,240,1818,0.7,"250,000"
17031031501,13.1,14.7,9.7,6.2,17.9,14.2,33.6,15.5,0.03,0.6,0.46,0.52,0.7,0.0,0.83,0.03,95,355,1801,4.7,32539
17031031502,12.7,16.9,10.6,4.8,18.5,12.0,30.9,17.0,0.03,0.6,0.49,0.52,0.75,0.0,0.82,0.03,0,400,2074,10.3,34861
17031834900,19.0,10.7,14.2,9.4,29.8,23.9,49.4,21.1,0.02,0.61,0.33,0.52,0.49,0.0,0.92,0.02,40,115,384,49.5,-
17031834800,14.0,11.7,13.0,7.8,23.5,20.3,42.4,18.8,0.02,0.62,0.34,0.52,0.57,0.0,0.93,0.02,25,105,551,16.0,61269
17031160502,18.3,19.2,9.2,3.6,15.4,9.1,30.2,15.5,0.03,0.63,0.37,0.52,0.66,0.0,0.95,0.03,145,135,1313,5.6,110842
17031140702,20.2,19.2,9.0,3.5,14.7,9.1,30.7,15.4,0.03,0.63,0.35,0.52,0.55,0.0,0.93,0.03,130,210,1740,3.8,78617
17031842000,8.2,19.1,9.1,4.1,9.8,9.1,23.7,15.7,0.03,0.66,0.42,0.52,0.94,0.0,0.92,0.03,15,30,374,14.3,158333
17031150402,9.7,19.4,8.6,4.5,12.3,8.3,23.6,13.1,0.03,0.63,0.35,0.52,0.45,0.0,0.94,0.03,85,65,1249,2.8,116167
17031834400,8.6,15.0,11.5,4.5,15.6,12.7,28.6,15.2,0.02,0.61,0.32,0.52,0.51,0.0,0.91,0.02,170,480,1501,14.9,114695
17031040201,7.4,21.4,8.4,3.1,9.8,6.2,18.5,12.7,0.02,0.62,0.34,0.52,0.48,0.0,0.92,0.03,115,235,2963,4.9,119717
17031040202,10.7,16.8,9.0,4.8,14.8,10.2,27.8,14.3,0.02,0.62,0.34,0.52,0.47,0.0,0.92,0.03,90,505,2529,6.1,74048
17031020702,13.5,14.8,9.3,6.1,17.8,12.5,33.6,15.4,0.02,0.61,0.34,0.52,0.45,0.0,0.91,0.02,445,290,2055,9.1,86106
17031020802,17.2,14.3,9.6,5.3,20.3,13.5,37.6,16.9,0.02,0.61,0.33,0.52,0.44,0.0,0.91,0.02,120,230,1736,10.6,64089
17031020301,7.1,14.0,8.6,8.0,10.6,11.1,25.8,11.7,0.02,0.61,0.33,0.52,0.41,0.0,0.91,0.02,335,155,1755,10.1,95282
17031838700,17.1,12.6,14.0,6.4,27.1,17.8,44.1,21.6,0.02,0.65,0.36,0.52,0.6,0.0,0.96,0.06,115,370,1316,7.7,31647
17031020601,13.9,14.9,10.1,6.3,20.0,13.1,34.7,17.2,0.02,0.61,0.33,0.52,0.41,0.0,0.91,0.02,135,255,1864,6.6,61044
17031841500,14.3,12.8,13.6,5.9,24.5,17.0,40.8,21.2,0.02,0.65,0.35,0.52,0.61,0.0,0.96,0.05,50,235,734,20.3,33459
17031838600,23.0,11.8,14.5,8.9,33.9,22.6,52.0,24.2,0.02,0.65,0.35,0.52,0.62,0.0,0.96,0.05,30,300,467,17.1,61806
17031837300,16.0,14.3,12.5,5.8,25.2,16.4,40.7,19.8,0.02,0.65,0.35,0.52,0.61,0.0,0.96,0.05,60,355,707,11.8,36422
17031020602,12.9,14.8,9.0,5.5,15.7,12.3,31.4,14.5,0.02,0.61,0.31,0.52,0.4,0.0,0.9,0.02,75,165,1555,1.3,85250
17031063301,4.7,21.5,8.9,2.8,7.0,5.0,15.0,13.3,0.02,0.61,0.53,0.52,1.1,0.0,0.85,0.04,20,190,1779,3.8,141250
17031837800,11.5,17.4,11.1,3.5,17.7,10.3,29.2,16.9,0.02,0.65,0.36,0.52,0.64,0.0,0.96,0.04,50,240,1110,14.7,39964
17031837400,14.8,13.9,12.5,6.0,24.3,16.8,39.5,19.0,0.02,0.64,0.35,0.52,0.62,0.0,0.96,0.04,35,130,715,21.4,46641
17031836900,16.6,13.3,13.5,5.3,26.0,15.7,41.6,21.5,0.02,0.64,0.35,0.52,0.6,0.0,0.96,0.04,25,235,581,8.1,-
17031020302,8.2,16.5,8.7,5.3,11.6,9.9,24.1,12.4,0.02,0.61,0.31,0.52,0.39,0.0,0.9,0.02,170,55,1504,9.4,103750
17031020902,14.1,14.8,9.8,6.0,20.2,13.7,35.4,16.3,0.02,0.61,0.32,0.52,0.42,0.0,0.9,0.02,145,165,1374,5.6,56891
17031010701,11.2,18.9,9.1,3.7,13.4,8.9,24.9,13.8,0.02,0.6,0.3,0.52,0.37,0.0,0.9,0.02,100,195,1561,3.5,84330
17031030103,6.9,21.6,9.3,2.5,10.1,5.9,19.2,15.8,0.02,0.6,0.3,0.52,0.38,0.0,0.89,0.02,115,105,946,5.3,83150
17031063303,3.7,14.5,7.7,6.5,6.1,8.5,18.6,8.9,0.02,0.61,0.53,0.52,1.11,0.0,0.84,0.04,75,215,762,2.9,225750
17031030102,6.9,18.6,9.1,4.2,11.6,8.9,21.5,13.3,0.02,0.6,0.3,0.52,0.4,0.0,0.89,0.02,200,300,1679,5.4,74429
17031010502,9.0,19.9,10.2,3.1,14.5,7.6,23.7,17.4,0.02,0.6,0.3,0.52,0.36,0.0,0.89,0.02,30,275,1441,8.7,97083
17031010503,13.3,14.7,10.9,7.8,16.9,14.6,34.8,19.3,0.02,0.6,0.3,0.52,0.37,0.0,0.89,0.02,50,325,1138,1.5,57500
17031010702,15.8,19.2,9.8,3.4,16.0,9.2,28.7,16.2,0.02,0.6,0.3,0.52,0.36,0.0,0.89,0.02,55,200,1754,8.0,72344
17031837100,14.3,12.9,12.2,7.4,20.7,18.0,38.7,17.5,0.02,0.64,0.35,0.52,0.6,0.0,0.96,0.04,85,190,492,17.6,87417
17031837000,14.6,12.9,13.5,5.6,25.0,16.8,40.8,20.6,0.02,0.64,0.35,0.52,0.61,0.0,0.96,0.04,20,90,771,11.3,81587
17031010201,16.5,16.8,10.9,4.5,20.6,11.8,33.8,17.8,0.02,0.6,0.3,0.52,0.36,0.0,0.89,0.02,70,485,2691,8.2,55644
17031020901,15.9,15.8,9.9,4.5,18.7,12.0,33.8,16.7,0.02,0.61,0.32,0.52,0.43,0.0,0.91,0.02,70,325,1833,5.8,58194
17031040401,5.8,22.0,8.1,2.7,8.2,5.5,15.7,11.4,0.02,0.62,0.33,0.52,0.48,0.0,0.92,0.03,100,85,1435,1.5,102375
17031210602,17.4,20.3,8.7,3.4,11.6,8.4,26.8,14.1,0.03,0.63,0.37,0.52,0.66,0.0,0.95,0.03,55,80,1391,2.7,95179
17031160501,17.6,18.6,8.8,3.8,13.2,9.4,28.9,14.3,0.03,0.63,0.36,0.52,0.61,0.0,0.94,0.03,115,45,1341,6.0,72904
17031191302,26.8,18.4,9.4,4.2,15.7,11.1,36.1,16.2,0.02,0.64,0.35,0.52,0.49,0.0,0.95,0.03,240,100,1036,5.8,65208
17031190602,23.4,17.9,9.1,4.9,14.9,11.4,34.3,14.9,0.02,0.64,0.35,0.52,0.48,0.0,0.95,0.03,410,95,1108,5.8,86779
17031840200,13.2,13.5,7.7,4.4,14.4,11.8,32.9,12.8,0.03,0.67,0.45,0.52,1.1,0.0,0.94,0.04,125,100,788,5.5,47019
17031530501,10.0,13.7,11.6,5.6,18.0,15.6,33.7,15.9,0.02,0.61,0.31,0.52,0.47,0.0,0.94,0.02,135,275,1520,32.5,49886
17031020701,7.2,15.7,8.2,5.2,11.3,10.3,23.9,11.5,0.02,0.62,0.34,0.52,0.47,0.0,0.92,0.03,175,80,743,7.7,120313
17031831400,15.1,13.8,11.4,6.2,20.9,15.9,37.7,16.9,0.02,0.65,0.36,0.52,0.58,0.0,0.96,0.05,195,205,864,11.2,55313
17031831300,14.7,17.9,9.8,3.7,13.3,10.5,28.5,14.1,0.02,0.64,0.35,0.52,0.52,0.0,0.95,0.04,25,80,308,4.3,51176
